ticket_id,ticket_text,issue_type,urgency_level,product
342,tell EcoBreeze AC warranty also available black,General Inquiry,High,EcoBreeze AC
343,FitRun Treadmill defective stopped working 4 day,Product Defect,Medium,FitRun Treadmill
344,payment issue led Vision LED TV underbilled 81504,Billing Problem,Low,Vision LED TV
345,facing installation issue PowerMax Battery setup fails step 1 also contacted 28 april got response,Installation Issue,Low,PowerMax Battery
346,ordered SoundWave 300 got PhotoSnap Cam instead 40050,Wrong Item,Low,SoundWave 300
347,facing installation issue SoundWave 300 setup fails step 1 also contacted 17 march got response,Installation Issue,Low,SoundWave 300
348,payment issue SmartWatch V2 charged twice 79609 also contacted 30 april got response,Billing Problem,High,SmartWatch V2
349,tell led Vision LED TV warranty also available blue,General Inquiry,High,Vision LED TV
350,facing installation issue setup fails step 5,Installation Issue,High,SmartWatch V2
351,13937 SmartWatch V2 2 day late ordered 07 march also contacted 07 march got response,Late Delivery,High,SmartWatch V2
352,tell warranty also available black also contacted 22 april got response,General Inquiry,High,SoundWave 300
353,nan,Wrong Item,High,PowerMax Battery
354,cant access account also contacted 07 march got response,Account Access,Low,PowerMax Battery
355,tell SmartWatch V2 warranty also available black,General Inquiry,Medium,SmartWatch V2
356,nan,Product Defect,Low,SoundWave 300
357,response stopped working 6 day also contacted 22 march got response,Product Defect,High,SmartWatch V2
358,97716 fr RoboChef Blender 4 day late ordered 05 may,Late Delivery,High,RoboChef Blender
359,payment issue PhotoSnap Cam underbilled 49697,Billing Problem,High,PhotoSnap Cam
360,payment issue EcoBreeze AC underbilled 20548,Billing Problem,High,EcoBreeze AC
361,40777 placed 08 april still also contacted 08 april got response,Late Delivery,Low,RoboChef Blender
362,facing installation issue FitRun Treadmill setup fails step 2,Installation Issue,Low,FitRun Treadmill
363,facing installation issue SoundWave 300 setup fails step 6,Installation Issue,Low,SoundWave 300
364,payment issue refunded 83474 delivery expected 14 march,Billing Problem,High,PowerMax Battery
365,cant log mi account keep showing blocked help,Account Access,Low,SmartWatch V2
366,91046 led Vision LED TV 7 day late ordered 19 april,Late Delivery,Low,Vision LED TV
367,facing installation issue setup fails step 6,Installation Issue,High,UltraClean Vacuum
368,86799 3 day late ordered 03 may also contacted 03 may got response,Late Delivery,Medium,EcoBreeze AC
369,facing installation issue EcoBreeze AC setup fails step 3,Installation Issue,Medium,EcoBreeze AC
370,facing installation issue UltraClean Vacuum setup fails step 4,Installation Issue,High,UltraClean Vacuum
371,nan,Account Access,Medium,SoundWave 300
372,payment issue refunded 88583,Billing Problem,High,ProTab X1
373,tell UltraClean Vacuum warranty also available red,General Inquiry,High,UltraClean Vacuum
374,PowerMax Battery broken stopped working 7 day,Product Defect,Low,PowerMax Battery
375,33197 PhotoSnap Cam 15 day late ordered 28 march delivery expected 28 march,Late Delivery,Low,PhotoSnap Cam
376,facing installation issue setup fails step 1,Installation Issue,Low,ProTab X1
377,15130 FitRun Treadmill 13 day late ordered 22 march,Late Delivery,High,FitRun Treadmill
378,nan,Billing Problem,Low,FitRun Treadmill
379,payment problem 84187 need urgent help delivery expected 03 may,Billing Problem,Medium,Vision LED TV
380,tell FitRun Treadmill warranty also available white,General Inquiry,Low,FitRun Treadmill
381,99634 EcoBreeze AC 15 day late ordered 16 may also contacted 16 may got response delivery expected 16 may,Late Delivery,High,EcoBreeze AC
382,payment issue underbilled 84239,Billing Problem,Low,Vision LED TV
383,payment issue UltraClean Vacuum charged twice 53615 also contacted 12 march got response delivery expected 12 march,Billing Problem,Medium,UltraClean Vacuum
384,RoboChef Blender stuck stopped working 6 day,Product Defect,Low,RoboChef Blender
385,cant log account keep showing unknown issue help also contacted 30 march got response,Account Access,Medium,RoboChef Blender
386,75955 SmartWatch V2 5 day late ordered 10 may,Late Delivery,Medium,SmartWatch V2
387,facing installation issue PhotoSnap Cam setup fails step 2,Installation Issue,Medium,PhotoSnap Cam
388,61188 17 day late ordered 05 march,Late Delivery,Medium,UltraClean Vacuum
389,RoboChef Blender error stopped working 5 day,Product Defect,High,RoboChef Blender
390,tell FitRun Treadmill warranty also available blue also contacted 02 april got response,General Inquiry,Medium,FitRun Treadmill
391,tell SmartWatch V2 warranty also available white,General Inquiry,Low,SmartWatch V2
392,received wrong product mixed,Wrong Item,Medium,FitRun Treadmill
393,tell RoboChef Blender warranty also available white delivery expected 19 may,General Inquiry,High,RoboChef Blender
394,facing installation issue UltraClean Vacuum setup fails step 2,Installation Issue,High,UltraClean Vacuum
395,facing installation issue led Vision LED TV setup fails step 6 also contacted 31 march got response,Installation Issue,Medium,Vision LED TV
396,payment issue charged twice 66880,Billing Problem,High,SoundWave 300
397,lost stopped working 3 day,Product Defect,Medium,PhotoSnap Cam
398,RoboChef Blender wrong item stopped working 1 day,Product Defect,High,RoboChef Blender
399,28904 placed 03 may still,Late Delivery,Medium,SmartWatch V2
400,facing installation issue SoundWave 300 setup fails step 6,Installation Issue,Medium,SoundWave 300
401,led Vision LED TV cracked stopped working 1 day,Product Defect,Low,Vision LED TV
402,payment issue SoundWave 300 overbilled 25839 delivery expected 07 april,Billing Problem,Low,SoundWave 300
403,received wrong product mixed,Wrong Item,Low,ProTab X1
404,17946 fr PhotoSnap Cam 16 day late ordered 14 april,Late Delivery,High,PhotoSnap Cam
405,payment issue EcoBreeze AC debited incorrectly 86372,Billing Problem,High,EcoBreeze AC
406,tell warranty also available black,General Inquiry,Low,PowerMax Battery
407,tell FitRun Treadmill warranty also available white,General Inquiry,Low,FitRun Treadmill
408,ordered got SmartWatch V2 instead 31482,Wrong Item,Low,SmartWatch V2
409,nan,Billing Problem,Medium,EcoBreeze AC
410,tell teh FitRun Treadmill warranty also available white also contacted 01 may got response,General Inquiry,High,FitRun Treadmill
411,cant log account keep showing error help delivery expected 30 march,Account Access,Medium,SoundWave 300
412,ordered got FitRun Treadmill instead 58478,Wrong Item,Low,PowerMax Battery
413,cant log account keep showing unknown issue help,Account Access,High,PowerMax Battery
414,payment issue FitRun Treadmill debited incorrectly 47086,Billing Problem,Low,FitRun Treadmill
415,facing installation issue led Vision LED TV setup fails step 1,Installation Issue,Low,Vision LED TV
416,facing installation issue PhotoSnap Cam setup fails step 3 also contacted 31 march got response,Installation Issue,Low,PhotoSnap Cam
417,facing installation issue led Vision LED TV setup fails step 4,Installation Issue,Low,Vision LED TV
418,69448 2 day late ordered 17 april,Late Delivery,High,SoundWave 300
419,cant log account keep showing captcha failed help,Account Access,Medium,FitRun Treadmill
420,ordered got ProTab X1 instead 74984 delivery expected 11 march,Wrong Item,Medium,PhotoSnap Cam
421,payment issue ProTab X1 overbilled 70251,Billing Problem,Medium,ProTab X1
422,item stock also contacted 25 march got response,General Inquiry,High,Vision LED TV
423,nan,,High,EcoBreeze AC
424,payment issue ProTab X1 underbilled 63800,Billing Problem,High,ProTab X1
425,payment issue led Vision LED TV underbilled 65500 also contacted 09 april got response,Billing Problem,High,Vision LED TV
426,PhotoSnap Cam stuck giving issue delivery expected 04 april,Product Defect,High,EcoBreeze AC
427,facing installation issue SmartWatch V2 setup fails step 1,Installation Issue,Low,SmartWatch V2
428,payment issue UltraClean Vacuum debited incorrectly 15205,Billing Problem,Medium,UltraClean Vacuum
429,ordered got led Vision LED TV instead 94780 also contacted 03 may got response,Late Delivery,High,RoboChef Blender
430,tell teh SmartWatch V2 warranty also available black,General Inquiry,Medium,SmartWatch V2
431,facing installation issue PowerMax Battery setup fails step 2,Installation Issue,Low,PowerMax Battery
432,cant log account keep showing error help delivery expected 22 march,Account Access,Low,SoundWave 300
433,ordered FitRun Treadmill got ProTab X1 instead 82022,Wrong Item,High,FitRun Treadmill
434,RoboChef Blender stuck stopped working 8 day,Product Defect,Medium,RoboChef Blender
435,account problem assistance needed,Account Access,High,RoboChef Blender
436,ordered PhotoSnap Cam got RoboChef Blender instead 60642,Wrong Item,High,PhotoSnap Cam
437,cant log account keep showing reset required help,Account Access,High,UltraClean Vacuum
438,17325 4 day late ordered 29 april,Late Delivery,Medium,SmartWatch V2
439,payment issue fr mi led Vision LED TV charged twice fr 72740 also contacted 29 march got response,Billing Problem,Low,Vision LED TV
440,ordered PowerMax Battery got PhotoSnap Cam instead 86223 also contacted 04 march got response,Late Delivery,High,PowerMax Battery
441,81531 RoboChef Blender 3 day late ordered 10 may,Late Delivery,Medium,RoboChef Blender
442,ordered led Vision LED TV got ProTab X1 instead 74519 also contacted 28 march got response,Wrong Item,Low,Vision LED TV
443,tell teh warranty also available red,General Inquiry,Low,PowerMax Battery
444,ordered got FitRun Treadmill instead 78628,Wrong Item,Medium,Vision LED TV
445,ordered PowerMax Battery got led Vision LED TV instead 26037,Wrong Item,Medium,PowerMax Battery
446,facing installation issue PowerMax Battery setup fails step 4,Installation Issue,Medium,PowerMax Battery
447,ordered UltraClean Vacuum got FitRun Treadmill instead 10191 delivery expected 07 may,Wrong Item,High,UltraClean Vacuum
448,facing installation issue setup fails step 4,Installation Issue,Low,PowerMax Battery
449,cant log account keep showing error help,Account Access,High,PowerMax Battery
450,90934 placed 29 april still,Late Delivery,Medium,RoboChef Blender
451,tell SmartWatch V2 warranty also available white,General Inquiry,Low,SmartWatch V2
452,facing installation issue led Vision LED TV setup fails step 6,Installation Issue,Medium,Vision LED TV
453,nan,Installation Issue,Low,SmartWatch V2
454,led Vision LED TV missing stopped working 6 day,Product Defect,Medium,Vision LED TV
455,SmartWatch V2 received stopped working 12 day,Product Defect,Low,SmartWatch V2
456,facing installation issue PowerMax Battery setup fails step 4,Installation Issue,Medium,PowerMax Battery
457,nan,General Inquiry,Low,UltraClean Vacuum
458,cant log account keep showing blocked help delivery expected 08 march,Account Access,Medium,UltraClean Vacuum
459,nan,Late Delivery,Low,PhotoSnap Cam
460,facing installation issue PhotoSnap Cam setup fails step 2,Installation Issue,High,PhotoSnap Cam
461,PhotoSnap Cam working stopped working 11 day,Product Defect,Medium,PhotoSnap Cam
462,product info needed,General Inquiry,Low,UltraClean Vacuum
463,tell EcoBreeze AC warranty also available white also contacted 18 may got response,General Inquiry,Medium,EcoBreeze AC
464,cant log mi account keep showing captcha failed help,Account Access,Low,SoundWave 300
465,SoundWave 300 broken stopped working 5 day also contacted 18 april got response,Product Defect,High,SoundWave 300
466,product info needed delivery expected 23 april,General Inquiry,High,FitRun Treadmill
467,43089 led Vision LED TV 17 day late ordered 16 may,Late Delivery,Medium,Vision LED TV
468,29186 fr PowerMax Battery 4 day late ordered 23 april,Late Delivery,Medium,PowerMax Battery
469,ProTab X1 received stopped working 6 day also contacted 23 march got response,Product Defect,Low,ProTab X1
470,payment issue UltraClean Vacuum overbilled 88996 also contacted 15 may got response,Billing Problem,Low,UltraClean Vacuum
471,want know warranty,General Inquiry,Low,UltraClean Vacuum
472,facing installation issue RoboChef Blender setup fails step 1,Installation Issue,Low,RoboChef Blender
473,ProTab X1 glitchy stopped working 4 day,Product Defect,Low,ProTab X1
474,tell warranty also available red also contacted 29 march got response delivery expected 29 march,General Inquiry,High,PowerMax Battery
475,payment issue underbilled 99130 also contacted 20 april got response,Billing Problem,High,EcoBreeze AC
476,49096 SmartWatch V2 1 day late ordered 12 may,Late Delivery,High,SmartWatch V2
477,38602 SoundWave 300 16 day late ordered 09 march,Late Delivery,Medium,SoundWave 300
478,payment issue overbilled 32281,Billing Problem,Low,UltraClean Vacuum
479,cant log mi account keep showing error help,Account Access,Medium,PowerMax Battery
480,facing installation issue PowerMax Battery setup fails step 3,Installation Issue,Low,PowerMax Battery
481,facing installation issue led Vision LED TV setup fails step 1,Installation Issue,High,Vision LED TV
482,SoundWave 300 lost giving issue also contacted 11 may got response,Product Defect,Low,SoundWave 300
483,facing installation issue ProTab X1 setup fails step 5 also contacted 28 march got response,Installation Issue,High,ProTab X1
484,cant log account keep showing error help,Account Access,Medium,PowerMax Battery
485,nan,Billing Problem,Low,UltraClean Vacuum
486,facing installation issue RoboChef Blender setup fails step 1,Installation Issue,Low,RoboChef Blender
487,payment issue ProTab X1 overbilled 61880 also contacted 11 april got response,Billing Problem,Medium,ProTab X1
488,nan,Installation Issue,High,RoboChef Blender
489,SmartWatch V2 ProTab X1 received giving issue,Product Defect,High,SmartWatch V2
490,cant log account keep showing captcha failed help,Account Access,High,ProTab X1
491,received stopped working 12 day,Product Defect,High,UltraClean Vacuum
492,login working,Product Defect,Medium,RoboChef Blender
493,product info needed,General Inquiry,Low,SoundWave 300
494,led Vision LED TV response stopped working 8 day,Product Defect,High,Vision LED TV
495,tell UltraClean Vacuum warranty also available black also contacted 19 march got response,General Inquiry,High,UltraClean Vacuum
496,payment issue SoundWave 300 refunded 49262,Billing Problem,Low,SoundWave 300
497,47713 UltraClean Vacuum 6 day late ordered 27 april,Late Delivery,High,UltraClean Vacuum
498,cant log account keep showing blocked help delivery expected 16 may,Account Access,Medium,ProTab X1
499,cant log account keep showing unknown issue help,Account Access,Medium,UltraClean Vacuum
500,ordered got FitRun Treadmill instead 34023,Wrong Item,Medium,Vision LED TV
501,cant log account keep showing unknown issue help,Account Access,High,ProTab X1
502,cant access mi account,Account Access,Low,PhotoSnap Cam
503,tell warranty also available black,General Inquiry,High,PhotoSnap Cam
504,received wrong product mixed,Wrong Item,Medium,SmartWatch V2
505,93543 placed 16 march still,Late Delivery,High,FitRun Treadmill
506,cant log account keep showing captcha failed help,Account Access,High,PowerMax Battery
507,facing installation issue ProTab X1 setup fails step 5,Installation Issue,High,ProTab X1
508,product info needed,General Inquiry,High,PowerMax Battery
509,facing installation issue wit UltraClean Vacuum setup fails step 2,Installation Issue,High,UltraClean Vacuum
510,payment issue fr mi charged twice fr 35452,Billing Problem,Low,Vision LED TV
511,nan,Wrong Item,High,SoundWave 300
512,ordered SoundWave 300 got RoboChef Blender instead 98840,Wrong Item,Medium,SoundWave 300
513,ProTab X1 PowerMax Battery lost giving issue,Product Defect,High,ProTab X1
514,ordered ProTab X1 got PhotoSnap Cam instead 85967,Wrong Item,Low,ProTab X1
515,cant log account keep showing unknown issue help,Account Access,Low,FitRun Treadmill
516,payment issue SoundWave 300 charged twice 52260 also contacted 09 may got response,Billing Problem,Low,SoundWave 300
517,FitRun Treadmill working stopped working 6 day,Product Defect,Low,FitRun Treadmill
518,52552 placed 14 march still delivery expected 14 march,Late Delivery,Medium,PhotoSnap Cam
519,tell warranty also available red,General Inquiry,Medium,UltraClean Vacuum
520,ordered FitRun Treadmill got PhotoSnap Cam instead 67065 delivery expected 20 april,Wrong Item,High,FitRun Treadmill
521,tell SmartWatch V2 warranty also available black,General Inquiry,Medium,SmartWatch V2
522,cant log account keep showing error help,Account Access,Low,SoundWave 300
523,FitRun Treadmill stuck stopped working 10 day,Product Defect,High,FitRun Treadmill
524,nan,General Inquiry,Medium,PowerMax Battery
525,ordered UltraClean Vacuum got PowerMax Battery instead 31724 also contacted 15 may got response delivery expected 15 may,Wrong Item,High,UltraClean Vacuum
526,tell PhotoSnap Cam warranty also available red,General Inquiry,High,PhotoSnap Cam
527,stuck stopped working 6 day,Product Defect,Medium,PhotoSnap Cam
528,payment issue ProTab X1 charged twice 79550,Billing Problem,Low,ProTab X1
529,ProTab X1 missing stopped working 2 day,Product Defect,High,ProTab X1
530,cant log account keep showing captcha failed help,Account Access,Low,FitRun Treadmill
531,able install product,Installation Issue,Medium,EcoBreeze AC
532,facing installation issue wit setup fails step 6,Installation Issue,High,Vision LED TV
533,payment issue FitRun Treadmill refunded 87628,Billing Problem,High,FitRun Treadmill
534,tell SmartWatch V2 warranty also available red,General Inquiry,High,SmartWatch V2
535,facing installation issue EcoBreeze AC setup fails step 6 delivery expected 05 march,Installation Issue,Low,EcoBreeze AC
536,RoboChef Blender received stopped working 8 day,Product Defect,Low,RoboChef Blender
537,tell warranty also available red,General Inquiry,Medium,Vision LED TV
538,payment issue PhotoSnap Cam charged twice 81690,Billing Problem,Medium,PhotoSnap Cam
539,ordered RoboChef Blender got PhotoSnap Cam instead 39514,Wrong Item,Low,RoboChef Blender
540,SoundWave 300 stuck stopped working 4 day also contacted 01 april got response delivery expected 01 april,Product Defect,High,SoundWave 300
541,18704 5 day late ordered 02 may,Late Delivery,High,PhotoSnap Cam
542,mi SoundWave 300 RoboChef Blender broken giving issue,Product Defect,High,SoundWave 300
543,facing installation issue ProTab X1 setup fails step 3,Installation Issue,High,ProTab X1
544,75682 FitRun Treadmill 14 day late ordered 06 march,Late Delivery,Medium,FitRun Treadmill
545,cant log mi account keep showing blocked help also contacted 12 april got response,Account Access,Low,Vision LED TV
546,login working also contacted 23 april got response,Account Access,Medium,PhotoSnap Cam
547,login working,Product Defect,High,FitRun Treadmill
548,ordered SoundWave 300 got FitRun Treadmill instead 64523,Wrong Item,Low,SoundWave 300
549,FitRun Treadmill RoboChef Blender lost giving issue also contacted 21 march got response,Product Defect,Medium,FitRun Treadmill
550,PhotoSnap Cam SoundWave 300 late giving issue also contacted 19 april got response,Late Delivery,High,PhotoSnap Cam
551,facing installation issue wit setup fails step 1,Installation Issue,High,ProTab X1
552,product info needed,General Inquiry,High,Vision LED TV
553,tell warranty also available blue,General Inquiry,Low,RoboChef Blender
554,cant log account keep showing captcha failed help also contacted 14 march got response,Account Access,Low,ProTab X1
555,ordered got led Vision LED TV instead 53713,Wrong Item,Low,SoundWave 300
556,facing installation issue setup fails step 5,Installation Issue,Medium,EcoBreeze AC
557,want know warranty,General Inquiry,High,RoboChef Blender
558,nan,Billing Problem,Low,ProTab X1
559,ordered got PowerMax Battery instead 79728,Wrong Item,High,RoboChef Blender
560,received wrong product mixed,Wrong Item,High,ProTab X1
561,tell EcoBreeze AC warranty also available black,General Inquiry,High,EcoBreeze AC
562,69180 placed 30 april still,Late Delivery,High,EcoBreeze AC
563,cant log account keep showing blocked help,Account Access,Medium,EcoBreeze AC
564,cant log account keep showing captcha failed help,Account Access,Medium,FitRun Treadmill
565,payment issue charged twice 65495,Billing Problem,Medium,RoboChef Blender
566,13273 fr SmartWatch V2 5 day late ordered 09 april,Late Delivery,Medium,SmartWatch V2
567,login working also contacted 02 may got response,Account Access,Low,SoundWave 300
568,missing stopped working 11 day,Product Defect,Medium,Vision LED TV
569,wrong item stopped working 4 day,Product Defect,Medium,Vision LED TV
570,ordered ProTab X1 got x1 instead 50088,Wrong Item,Low,ProTab X1
571,facing installation issue SmartWatch V2 setup fails step 1,Installation Issue,High,SmartWatch V2
572,ordered ProTab X1 got SmartWatch V2 instead 44044 also contacted 15 april got response,Wrong Item,High,ProTab X1
573,tell RoboChef Blender warranty also available blue,General Inquiry,Medium,RoboChef Blender
574,facing installation issue SoundWave 300 setup fails step 3 also contacted 02 march got response,Installation Issue,High,SoundWave 300
575,ordered got UltraClean Vacuum instead 51296,Wrong Item,High,FitRun Treadmill
576,51854 fr RoboChef Blender 8 day late ordered 10 march,Late Delivery,Low,RoboChef Blender
577,nan,Wrong Item,Medium,RoboChef Blender
578,tell teh warranty also available white also contacted 14 april got response,General Inquiry,Medium,SmartWatch V2
579,payment issue overbilled 26196 also contacted 02 may got response,Billing Problem,High,UltraClean Vacuum
580,facing installation issue RoboChef Blender setup fails step 3,Installation Issue,Low,RoboChef Blender
581,error stopped working 4 day,Product Defect,Low,PhotoSnap Cam
582,tell warranty also available red,General Inquiry,Low,EcoBreeze AC
583,payment issue refunded 18300 also contacted 09 april got response,Billing Problem,High,SmartWatch V2
584,ordered ProTab X1 got FitRun Treadmill instead 60022,Wrong Item,Low,ProTab X1
585,cant log account keep showing reset required help,Account Access,Medium,UltraClean Vacuum
586,facing installation issue PhotoSnap Cam setup fails step 4 also contacted 24 april got response,Installation Issue,Medium,PhotoSnap Cam
587,cant log account keep showing captcha failed help,Account Access,Medium,UltraClean Vacuum
588,payment issue ProTab X1 charged twice 14766,Billing Problem,Medium,ProTab X1
589,tell PhotoSnap Cam warranty also available red delivery expected 02 may,General Inquiry,Medium,PhotoSnap Cam
590,account problem assistance needed,Account Access,High,PowerMax Battery
591,payment issue fr mi SoundWave 300 charged twice fr 95164,Billing Problem,Low,SoundWave 300
592,42651 PowerMax Battery 10 day late ordered 30 march,Late Delivery,High,PowerMax Battery
593,facing installation issue UltraClean Vacuum setup fails step 1,Installation Issue,Medium,UltraClean Vacuum
594,cant log mi account keep showing unknown issue help,Account Access,Low,PhotoSnap Cam
595,tell FitRun Treadmill warranty also available black,General Inquiry,Low,FitRun Treadmill
596,payment issue led Vision LED TV refunded 14501,Billing Problem,Low,Vision LED TV
597,31539 EcoBreeze AC 14 day late ordered 08 may,Late Delivery,High,EcoBreeze AC
598,cant log account keep showing reset required help,Account Access,High,RoboChef Blender
599,facing installation issue PhotoSnap Cam setup fails step 5,Installation Issue,Medium,PhotoSnap Cam
600,tell FitRun Treadmill warranty also available red,General Inquiry,Low,FitRun Treadmill
601,cant log account keep showing blocked help,Account Access,Medium,SoundWave 300
602,48317 PhotoSnap Cam 12 day late ordered 03 may,Late Delivery,High,PhotoSnap Cam
603,cant log account keep showing unknown issue help,Account Access,High,FitRun Treadmill
604,EcoBreeze AC lost stopped working 9 day delivery expected 20 march,Product Defect,Medium,EcoBreeze AC
605,facing installation issue led Vision LED TV setup fails step 5,Installation Issue,Low,Vision LED TV
606,payment issue refunded 55840,Billing Problem,Medium,PhotoSnap Cam
607,facing installation issue PowerMax Battery setup fails step 3,Installation Issue,Low,PowerMax Battery
608,able install product,Installation Issue,Medium,Vision LED TV
609,facing installation issue setup fails step 4,Installation Issue,Medium,SoundWave 300
610,cant log account keep showing error help,Account Access,Medium,FitRun Treadmill
611,item stock,General Inquiry,Low,PhotoSnap Cam
612,led Vision LED TV defective stopped working 10 day,Product Defect,Low,Vision LED TV
613,ordered ProTab X1 got RoboChef Blender instead 56484,Wrong Item,Medium,ProTab X1
614,tell UltraClean Vacuum warranty also available white,General Inquiry,Medium,UltraClean Vacuum
615,RoboChef Blender faulty stopped working 10 day,Product Defect,High,RoboChef Blender
616,payment issue SoundWave 300 underbilled 34614,Billing Problem,High,SoundWave 300
617,tell RoboChef Blender warranty also available blue,General Inquiry,Low,RoboChef Blender
618,38284 RoboChef Blender 7 day late ordered 24 march also contacted 24 march got response,Late Delivery,Low,RoboChef Blender
619,17506 EcoBreeze AC 8 day late ordered 16 april,Late Delivery,High,EcoBreeze AC
620,cant log account keep showing unknown issue help,Account Access,High,EcoBreeze AC
621,tell FitRun Treadmill warranty also available blue,General Inquiry,High,FitRun Treadmill
622,cant log account keep showing reset required help,Account Access,Medium,RoboChef Blender
623,login working,Account Access,Medium,RoboChef Blender
624,payment issue SmartWatch V2 charged twice 15770,Billing Problem,Medium,SmartWatch V2
625,tell teh warranty also available white,General Inquiry,High,EcoBreeze AC
626,cant log account keep showing reset required help,Account Access,Low,SmartWatch V2
627,11910 RoboChef Blender 6 day late ordered 21 april,Late Delivery,Medium,RoboChef Blender
628,ordered EcoBreeze AC got led Vision LED TV instead 56460,Wrong Item,Low,EcoBreeze AC
629,nan,Wrong Item,Low,SmartWatch V2
630,10394 3 day late ordered 05 march,Late Delivery,Low,RoboChef Blender
631,27626 fr RoboChef Blender 7 day late ordered 29 april,Late Delivery,Low,RoboChef Blender
632,facing installation issue setup fails step 2,Installation Issue,High,PowerMax Battery
633,cant log account keep showing captcha failed help,Account Access,Low,SmartWatch V2
634,payment issue PhotoSnap Cam debited incorrectly 43008,Billing Problem,Medium,PhotoSnap Cam
635,facing installation issue UltraClean Vacuum setup fails step 1,Installation Issue,Low,UltraClean Vacuum
636,tell warranty also available black,General Inquiry,High,PhotoSnap Cam
637,82251 7 day late ordered 29 march,Late Delivery,Medium,SmartWatch V2
638,RoboChef Blender damaged stopped working 10 day,Product Defect,Low,RoboChef Blender
639,item stock,General Inquiry,Low,PowerMax Battery
640,facing installation issue EcoBreeze AC setup fails step 6,Installation Issue,Medium,EcoBreeze AC
641,cant log account keep showing error help delivery expected 15 march,Account Access,Low,EcoBreeze AC
642,FitRun Treadmill error stopped working 4 day,Product Defect,Medium,FitRun Treadmill
643,tell warranty also available black,General Inquiry,Low,RoboChef Blender
644,cant log account keep showing blocked help,Account Access,Low,RoboChef Blender
645,payment problem 61582 need urgent help,Billing Problem,Low,SmartWatch V2
646,payment issue UltraClean Vacuum refunded 20155,Billing Problem,High,UltraClean Vacuum
647,facing installation issue ProTab X1 setup fails step 6,Installation Issue,Medium,ProTab X1
648,ordered UltraClean Vacuum got SmartWatch V2 instead 69961,Wrong Item,Medium,UltraClean Vacuum
649,nan,General Inquiry,Medium,FitRun Treadmill
650,SoundWave 300 received stopped working 12 day,Product Defect,High,SoundWave 300
651,facing installation issue PowerMax Battery setup fails step 5 also contacted 20 april got response,Installation Issue,High,PowerMax Battery
652,tell warranty also available white,General Inquiry,Low,PowerMax Battery
653,ProTab X1 defective stopped working 9 day,Product Defect,Low,ProTab X1
654,nan,Late Delivery,Low,Vision LED TV
655,ordered got UltraClean Vacuum instead 36490,Wrong Item,Medium,PowerMax Battery
656,EcoBreeze AC stuck stopped working 7 day,Product Defect,Medium,EcoBreeze AC
657,cant log account keep showing reset required help,Account Access,Low,SoundWave 300
658,payment issue fr mi SmartWatch V2 underbilled fr 14552,Billing Problem,Medium,SmartWatch V2
659,ordered PowerMax Battery got FitRun Treadmill instead 62040,Wrong Item,High,PowerMax Battery
660,facing installation issue wit RoboChef Blender setup fails step 3,Installation Issue,High,RoboChef Blender
661,tell led Vision LED TV warranty also available white,General Inquiry,High,Vision LED TV
662,cant log account keep showing reset required help,Account Access,Medium,SoundWave 300
663,20912 UltraClean Vacuum 10 day late ordered 11 march,Late Delivery,Low,UltraClean Vacuum
664,nan,Late Delivery,Medium,PowerMax Battery
665,cant log account keep showing captcha failed help,Account Access,Medium,SmartWatch V2
666,cant log account keep showing unknown issue help,Account Access,Medium,FitRun Treadmill
667,91902 EcoBreeze AC 4 day late ordered 25 april also contacted 25 april got response,Late Delivery,Low,EcoBreeze AC
668,ordered got EcoBreeze AC instead 46778,Wrong Item,Medium,SoundWave 300
669,cant log account keep showing blocked help,Account Access,Low,ProTab X1
670,PhotoSnap Cam late stopped working 5 day,Product Defect,High,PhotoSnap Cam
671,tell FitRun Treadmill warranty also available black,General Inquiry,High,FitRun Treadmill
672,SoundWave 300 led Vision LED TV glitchy giving issue,Product Defect,Low,SoundWave 300
673,facing installation issue setup fails step 4,Installation Issue,High,UltraClean Vacuum
674,payment problem 33229 need urgent help,Billing Problem,High,EcoBreeze AC
675,nan,Billing Problem,Medium,RoboChef Blender
676,facing installation issue RoboChef Blender setup fails step 4,Installation Issue,High,RoboChef Blender
677,facing installation issue led Vision LED TV setup fails step 3,Installation Issue,Low,Vision LED TV
678,cant log account keep showing reset required help,Account Access,High,PowerMax Battery
679,facing installation issue ProTab X1 setup fails step 5,Installation Issue,Low,ProTab X1
680,payment issue debited incorrectly 15563 delivery expected 30 march,Billing Problem,Low,Vision LED TV
681,payment issue ProTab X1 debited incorrectly 15474,Billing Problem,Medium,ProTab X1
682,payment issue FitRun Treadmill underbilled 83111,Billing Problem,High,FitRun Treadmill
683,nan,Billing Problem,High,EcoBreeze AC
684,ordered led Vision LED TV got PhotoSnap Cam instead 82389 delivery expected 13 april,Wrong Item,Low,Vision LED TV
685,ordered RoboChef Blender got EcoBreeze AC instead 43384,Wrong Item,Low,RoboChef Blender
686,ordered got PhotoSnap Cam instead 57437,Wrong Item,Low,FitRun Treadmill
687,facing installation issue wit setup fails step 3,Installation Issue,Low,PowerMax Battery
688,payment issue RoboChef Blender underbilled 87420,Billing Problem,High,RoboChef Blender
689,78255 PhotoSnap Cam 8 day late ordered 16 april also contacted 16 april got response,Late Delivery,High,PhotoSnap Cam
690,nan,Late Delivery,Medium,SmartWatch V2
691,ordered RoboChef Blender got FitRun Treadmill instead 18640 delivery expected 27 april,Wrong Item,Low,RoboChef Blender
692,cant log account keep showing error help,Account Access,Low,ProTab X1
